ad_title,brand_name,cost,ctr,id,like,video_name,is_ugc,duration,height,width,industry_parent,industry_child,objective_value,creative_theme,creative_concept,format_production_style,talent_type,demographic_representation,audience_focus,campaign_objective
Great time killer!,Survival Game Master,2,0.01,7132878852058906625,38213,ad_23000000000_2_0_1,TRUE,30.974,1280,720,News & Entertainment,Games & Utility Software,App Installs,Promotional & Offer-Based,Product demo,Native Video,Influencers,Primarily Male,Unaware Audience,App Promotion
Oddly satisfying game,Gameworld Master,2,0.01,7109275920046178305,14299,ad_23000000000_2_1_1,FALSE,37.334,1024,576,News & Entertainment,Games & Utility Software,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unaware Audience,Awareness
My friend recommended me to play this game,Sugarcane Inc. Empire Tycoon,0,0.02,7077499601561305089,2427,ad_23000000000_2_2_1,FALSE,17.323,1024,576,News & Entertainment,Games & Utility Software,App Installs,Educational & Explainer,Product demo,Animation & Motion Graphics,None,No People Featured,Unaware Audience,Awareness
download now,"Smart VPN - Fast, Stable",2,0.02,7176836203668783106,124771,ad_23000000000_2_3_1,FALSE,53.015,1280,720,News & Entertainment,Games & Utility Software,App Installs,Lifestyle & Aspirational,Before-and-after story,Animation & Motion Graphics,None,Primarily Female,Unclear,Engagement
Play ten minutes a day to relieve stress!,Sugarcane Factory 3D,0,0.02,7077499507373899777,2739,ad_23000000000_2_4_1,TRUE,14.016,1024,576,News & Entertainment,Games & Utility Software,App Installs,Product-Centric,Product demo,Animation & Motion Graphics,None,No People Featured,Unaware Audience,App Promotion
Stay social while social-distancing.,LiveMe – Live Stream & Go Live,1,0.02,7140228677053972482,5491,ad_23000000000_2_5_1,TRUE,19.318,1280,720,News & Entertainment,Relationship Information,App Installs,Not Applicable,None,Native Video,Customers,Primarily Female,Unaware Audience,App Promotion
Swallow 'em all,Attack Hole,1,0.03,7228439319760535554,1811,ad_23000000000_2_6_1,TRUE,25.25,1280,720,News & Entertainment,Other News & Entertainment,App Installs,Humor & Entertainment,Product demo,Native Video,Combination of actors and customers,Diverse Gender Representation,Unaware Audience,App Promotion
Check Out my new SUPERCAR!,Car Games ·,2,0.03,7123282891630772226,2681,ad_23000000000_2_7_1,TRUE,12.179,1024,576,News & Entertainment,Games & Utility Software,App Installs,Humor & Entertainment,Comparison,Native Video,None,No People Featured,Product Aware,Engagement
Be My Guest is the new trend,Be My Guest!,2,0.04,7188113660753313794,2445,ad_23000000000_2_8_1,TRUE,13.014,1024,576,News & Entertainment,Other News & Entertainment,App Installs,Humor & Entertainment,Day-in-the-life story,Animation & Motion Graphics,None,No People Featured,Unclear,Unclear
Play now or Cry later,Be My Guest,2,0.04,7169928916990312449,8503,ad_23000000000_2_9_1,FALSE,30.016,1024,576,News & Entertainment,Other News & Entertainment,App Installs,Humor & Entertainment,Day-in-the-life story,Native Video,None,No People Featured,Unclear,App Promotion
We are here to support you friends! 🥰💕 #mentalhealth #selfcare #app #birb #support #motivation #goals #brushyourhair #finchtok,,2,0.05,7183086453202550786,87258,ad_23000000000_2_10_1,TRUE,18.597,1024,576,News & Entertainment,Games & Utility Software,App Installs,Lifestyle & Aspirational,Day-in-the-life story,Native Video,Customers,Primarily Female,Problem Aware,Engagement
This is really satisfying!,Gear Clicker,2,0.06,7176960976629104642,289737,ad_23000000000_2_11_1,FALSE,30.016,1280,720,News & Entertainment,Games & Utility Software,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unclear,App Promotion
Check it out! We just released our NEW GAME!,Soccer Street Masters,1,0.07,7125421394594988034,2610,ad_23000000000_2_12_1,TRUE,30.016,1024,576,News & Entertainment,Games & Utility Software,App Installs,Promotional & Offer-Based,Event-driven,Native Video,None,No People Featured,Product Aware,Engagement
Su Yuan finds out that his new school is filled with dangerous half-demons!,EbookRenta!,2,0.07,7150106723864477698,8117,ad_23000000000_2_13_1,FALSE,30.038,1024,576,News & Entertainment,Reading,App Installs,Brand Story & Mission-Driven,Cinematic brand film,Native Video,None,Diverse Gender Representation,Unaware Audience,Awareness
